317080	2528	2534
317081	33209	33228
317082	317081	12368
317083	33236	33242
317084	33234	33240
317085	317082	33259
317086	33250	33254
317087	317085	33246
317088	317087	317086
317089	317084	33255
317090	33211	33221
317091	317089	33248
317092	317091	317090
317093	317092	33235
317094	30892	33265
317095	317083	33253
317096	33245	33252
317097	2578	2625
317098	317096	317095
317099	317088	17414
317100	317098	317093
317101	317099	33257
317102	317097	2637
317103	317100	33251
317104	317101	33217
317105	317104	317103
317106	17646	17647
317107	2571	2628
317108	2576	2646
317109	317108	2630
317110	14804	24217
317111	317107	2645
317112	317109	2643
317113	31055	33304
317114	317111	2642
317115	317112	2638
317116	317113	317094
317117	317114	2635
317118	317115	2634
317119	317117	2632
317120	317116	33256
317121	317118	2623
317122	317119	2611
317123	33225	33233
317124	317120	33230
317125	317121	2566
317126	317122	2532
317127	51911	51912
317128	16138	17669
317129	33227	33229
317130	33216	33218
317131	317126	317125
317132	16715	24338
317133	317102	17660
317134	28369	28379
317135	33274	33300
317136	33247	33267
317137	33286	33297
317138	17652	17664
317139	33271	33281
317140	2531	10931
317141	317137	33238
317142	13479	58422
317143	24596	107110
317144	317139	33249
317145	4383	4384
317146	39367	39375
317147	17653	17661
317148	317105	33277
317149	317144	19291
317150	317138	17650
317151	17673	17674
317152	317141	33320
317153	17671	17672
317154	317152	317149
317155	38148	38151
317156	317153	17670
317157	317129	33232
317158	28366	28367
317159	57280	57296
317160	59009	74809
317161	41999	63564
317162	17643	17645
317163	317136	33258
317164	44012	44036
317165	15638	20769
317166	1391	24464
317167	317133	317128
317168	12709	33219
317169	317151	317080
317170	2974	2982
317171	33314	33318
317172	2400	2405
317173	20191	20199
317174	27500	27514
317175	33283	33307
317176	3746	5201
317177	33268	33282
317178	317106	17683
317179	24415	24624
317180	317176	17668
317181	33231	33319
317182	317173	20200
317183	14056	14063
317184	952	7608
317185	317177	317175
317186	28354	28375
317187	3580	20073
317188	317180	17654
317189	13554	17428
317190	3431	3432
317191	317171	317168
317192	317188	17676
317193	5533	12853
317194	24629	24631
317195	317185	33226
317196	2564	27502
317197	3984	17713
317198	317195	33244
317199	16353	31567
317200	1385	24469
317201	317131	17714
317202	18480	34938
317203	132949	144071
317204	317135	317123
317205	317162	317156
317206	28370	28383
317207	317147	17709
317208	317159	17581
317209	317148	317124
317210	5719	26436
317211	7662	10951
317212	27345	27442
317213	27347	27349
317214	317150	17708
317215	317212	27437
317216	27507	27518
317217	33306	33311
317218	317169	17705
317219	317206	28351
317220	317213	27339
317221	388	3494
317222	2964	3011
317223	33214	33241
317224	317127	14181
317225	317167	17680
317226	317220	27342
317227	5220	8988
317228	53213	53218
317229	8962	17113
317230	27530	27532
317231	28355	28380
317232	27821	37989
317233	33301	33315
317234	317132	24627
317235	317164	44015
317236	317166	24444
317237	317178	17715
317238	317226	27344
317239	317230	27535
317240	17198	17209
317241	7344	10934
317242	27516	27519
317243	33270	33275
317244	317237	17642
317245	317134	28384
317246	317216	317196
317247	317238	27351
317248	317239	27540
317249	41933	41939
317250	115619	115634
317251	124168	124170
317252	24407	24422
317253	33284	33285
317254	317207	317197
317255	317215	27443
317256	317247	27352
317257	20010	20047
317258	8821	18192
317259	99808	99888
317260	24332	24610
317261	10394	10402
317262	28356	28360
317263	33276	33280
317264	317192	17682
317265	317246	27520
317266	317252	24438
317267	317255	27441
317268	2958	19516
317269	28371	28381
317270	317143	39262
317271	317130	33264
317272	317201	17712
317273	317203	144072
317274	317228	53237
317275	317231	28377
317276	317234	317194
317277	317250	115631
317278	41216	129119
317279	2711	2738
317280	317198	317157
317281	317205	17684
317282	17469	28386
317283	317204	33243
317284	317214	17690
317285	317235	44049
317286	14248	40127
317287	5220	9023
317288	54704	87179
317289	2519	2521
317290	79278	135558
317291	107135	124169
317292	28365	28417
317293	317191	317154
317294	317218	17716
317295	317260	24612
317296	317290	147699
317297	14394	24421
317298	14600	19451
317299	44037	44062
317300	6957	53532
317301	22262	38167
317302	2732	2967
317303	8900	26722
317304	28359	28401
317305	10927	16071
317306	10764	10783
317307	317294	16131
317308	317217	26607
317309	317251	124173
317310	317296	147704
317311	61542	61546
317312	18482	154878
317313	100258	100259
317314	8227	20107
317315	8963	22074
317316	137817	137818
317317	28362	28363
317318	34884	34886
317319	317225	17711
317320	317243	317223
317321	317270	124190
317322	317310	147712
317323	44017	44019
317324	7637	11291
317325	28364	28422
317326	317145	18410
317327	317229	17116
317328	317244	17701
317329	317253	317233
317330	317291	124189
317331	317322	147717
317332	5223	22117
317333	53216	53238
317334	471	1169
317335	84733	98400
317336	1389	24428
317337	28185	28187
317338	28390	28409
317339	11960	12147
317340	317307	17640
317341	317285	44067
317342	317283	317280
317343	317309	124188
317344	317331	147731
317345	13479	16739
317346	39119	53511
317347	40163	40164
317348	43488	43526
317349	101583	101592
317350	8982	14261
317351	109644	109645
317352	24248	24260
317353	2972	9321
317354	2970	2984
317355	25481	38162
317356	28378	28418
317357	3804	16840
317358	317272	17707
317359	317308	317271
317360	317321	124186
317361	317344	147741
317362	49811	76529
317363	50544	50547
317364	18499	18528
317365	473	33450
317366	92314	92315
317367	9248	12118
317368	24414	24462
317369	2956	3027
317370	24605	24611
317371	3347	21450
317372	28374	28406
317373	196827	214360
317374	159	715
317375	317254	17686
317376	317299	44057
317377	317330	124187
317378	317329	317320
317379	1296	1815
317380	156405	180940
317381	28372	28415
317382	3617	5932
317383	245353	245368
317384	317359	317342
317385	34408	34417
317386	317140	4994
317387	317264	17675
317388	317343	124185
317389	317341	44055
317390	317370	24606
317391	14057	14058
317392	53247	53249
317393	1085	19456
317394	2570	38150
317395	2662	91246
317396	22666	24419
317397	24111	24118
317398	134234	148172
317399	28373	28382
317400	28688	99255
317401	1708	15411
317402	245332	245335
317403	35591	50534
317404	128	8477
317405	317319	17648
317406	317300	100261
317407	317312	101278
317408	317360	124184
317409	317384	317378
317410	317389	317376
317411	317392	53211
317412	2139	27413
317413	24129	24136
317414	20883	30169
317415	20961	26216
317416	101056	124645
317417	24415	24482
317418	24809	24815
317419	10588	10631
317420	28385	28421
317421	28486	28548
317422	207386	207389
317423	245338	245351
317424	35783	35788
317425	317146	39366
317426	317182	57088
317427	317281	17706
317428	317249	41941
317429	317268	20235
317430	317301	317155
317431	317377	124183
317432	317390	24613
317433	37458	37459
317434	317406	317313
317435	44050	44051
317436	42017	42030
317437	14746	34583
317438	16622	16623
317439	17255	17257
317440	18959	28192
317441	2720	47168
317442	101267	158764
317443	9949	33289
317444	140590	140603
317445	1154	7029
317446	28387	28423
317447	245333	245334
317448	4285	20271
317449	317266	24461
